activitysiteid,activitydescription,bookingenddatetime_(month_/_day_/_year)_apr_may,bookingstarttime_apr_may,maxbookees_apr_may,number_booked_apr_may,price_(inr)_apr_may,bookingenddatetime_(month_/_day_/_year)_june,bookingstarttime_june,maxbookees_june,number_booked_june,price_(inr)_june
BRP,20:20:20  10-11 Am,2018-05-08,10:00:00,35.0,30.0,499.0,2018-06-12,10:00:00,35.0,23.0,499.0
BRP,20:20:20  10-11 Am,2018-05-08,10:00:00,35.0,30.0,499.0,2018-06-19,10:00:00,35.0,21.0,499.0
BRP,20:20:20  10-11 Am,2018-05-08,10:00:00,35.0,30.0,499.0,2018-06-26,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10-11 Am,2018-05-15,10:00:00,35.0,18.0,499.0,2018-06-05,10:00:00,35.0,25.0,499.0
BRP,20:20:20  10-11 Am,2018-05-15,10:00:00,35.0,18.0,499.0,2018-06-12,10:00:00,35.0,23.0,499.0
BRP,20:20:20  10-11 Am,2018-05-15,10:00:00,35.0,18.0,499.0,2018-06-19,10:00:00,35.0,21.0,499.0
BRP,20:20:20  10-11 Am,2018-05-15,10:00:00,35.0,18.0,499.0,2018-06-26,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10-11 Am,2018-05-22,10:00:00,35.0,24.0,499.0,2018-06-05,10:00:00,35.0,25.0,499.0
BRP,20:20:20  10-11 Am,2018-05-22,10:00:00,35.0,24.0,499.0,2018-06-12,10:00:00,35.0,23.0,499.0
BRP,20:20:20  10-11 Am,2018-05-22,10:00:00,35.0,24.0,499.0,2018-06-19,10:00:00,35.0,21.0,499.0
BRP,20:20:20  10-11 Am,2018-05-22,10:00:00,35.0,24.0,499.0,2018-06-26,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10-11 Am,2018-05-29,10:00:00,35.0,28.0,499.0,2018-06-05,10:00:00,35.0,25.0,499.0
BRP,20:20:20  10-11 Am,2018-05-29,10:00:00,35.0,28.0,499.0,2018-06-12,10:00:00,35.0,23.0,499.0
BRP,20:20:20  10-11 Am,2018-05-29,10:00:00,35.0,28.0,499.0,2018-06-19,10:00:00,35.0,21.0,499.0
BRP,20:20:20  10-11 Am,2018-05-29,10:00:00,35.0,28.0,499.0,2018-06-26,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-05,10:00:00,35.0,25.0,499.0,2018-06-14,10:00:00,35.0,19.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-05,10:00:00,35.0,25.0,499.0,2018-06-21,10:00:00,35.0,22.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-05,10:00:00,35.0,25.0,499.0,2018-06-28,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-12,10:00:00,35.0,23.0,499.0,2018-06-14,10:00:00,35.0,19.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-12,10:00:00,35.0,23.0,499.0,2018-06-21,10:00:00,35.0,22.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-12,10:00:00,35.0,23.0,499.0,2018-06-28,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-19,10:00:00,35.0,21.0,499.0,2018-06-14,10:00:00,35.0,19.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-19,10:00:00,35.0,21.0,499.0,2018-06-21,10:00:00,35.0,22.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-19,10:00:00,35.0,21.0,499.0,2018-06-28,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-26,10:00:00,35.0,29.0,499.0,2018-06-14,10:00:00,35.0,19.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-26,10:00:00,35.0,29.0,499.0,2018-06-21,10:00:00,35.0,22.0,499.0
BRP,20:20:20  10.00-11.00am,2018-04-26,10:00:00,35.0,29.0,499.0,2018-06-28,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-03,10:00:00,35.0,20.0,499.0,2018-06-14,10:00:00,35.0,19.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-03,10:00:00,35.0,20.0,499.0,2018-06-21,10:00:00,35.0,22.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-03,10:00:00,35.0,20.0,499.0,2018-06-28,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-10,10:00:00,35.0,24.0,499.0,2018-06-14,10:00:00,35.0,19.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-10,10:00:00,35.0,24.0,499.0,2018-06-21,10:00:00,35.0,22.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-10,10:00:00,35.0,24.0,499.0,2018-06-28,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-17,10:00:00,35.0,29.0,499.0,2018-06-14,10:00:00,35.0,19.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-17,10:00:00,35.0,29.0,499.0,2018-06-21,10:00:00,35.0,22.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-17,10:00:00,35.0,29.0,499.0,2018-06-28,10:00:00,35.0,18.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-31,10:00:00,35.0,14.0,499.0,2018-06-14,10:00:00,35.0,19.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-31,10:00:00,35.0,14.0,499.0,2018-06-21,10:00:00,35.0,22.0,499.0
BRP,20:20:20  10.00-11.00am,2018-05-31,10:00:00,35.0,14.0,499.0,2018-06-28,10:00:00,35.0,18.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-06,9:30:00,35.0,26.0,499.0,2018-06-01,9:30:00,35.0,28.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-06,9:30:00,35.0,26.0,499.0,2018-06-08,9:30:00,35.0,35.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-06,9:30:00,35.0,26.0,499.0,2018-06-15,9:30:00,35.0,31.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-06,9:30:00,35.0,26.0,499.0,2018-06-22,9:30:00,35.0,32.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-06,9:30:00,35.0,26.0,499.0,2018-06-29,9:30:00,35.0,19.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-13,9:30:00,35.0,20.0,499.0,2018-06-01,9:30:00,35.0,28.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-13,9:30:00,35.0,20.0,499.0,2018-06-08,9:30:00,35.0,35.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-13,9:30:00,35.0,20.0,499.0,2018-06-15,9:30:00,35.0,31.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-13,9:30:00,35.0,20.0,499.0,2018-06-22,9:30:00,35.0,32.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-13,9:30:00,35.0,20.0,499.0,2018-06-29,9:30:00,35.0,19.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-20,9:30:00,35.0,30.0,499.0,2018-06-01,9:30:00,35.0,28.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-20,9:30:00,35.0,30.0,499.0,2018-06-08,9:30:00,35.0,35.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-20,9:30:00,35.0,30.0,499.0,2018-06-15,9:30:00,35.0,31.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-20,9:30:00,35.0,30.0,499.0,2018-06-22,9:30:00,35.0,32.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-20,9:30:00,35.0,30.0,499.0,2018-06-29,9:30:00,35.0,19.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-27,9:30:00,35.0,27.0,499.0,2018-06-01,9:30:00,35.0,28.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-27,9:30:00,35.0,27.0,499.0,2018-06-08,9:30:00,35.0,35.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-27,9:30:00,35.0,27.0,499.0,2018-06-15,9:30:00,35.0,31.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-27,9:30:00,35.0,27.0,499.0,2018-06-22,9:30:00,35.0,32.0,499.0
BRP,20:20:20  9.30-10.30am,2018-04-27,9:30:00,35.0,27.0,499.0,2018-06-29,9:30:00,35.0,19.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-04,9:30:00,35.0,33.0,499.0,2018-06-01,9:30:00,35.0,28.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-04,9:30:00,35.0,33.0,499.0,2018-06-08,9:30:00,35.0,35.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-04,9:30:00,35.0,33.0,499.0,2018-06-15,9:30:00,35.0,31.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-04,9:30:00,35.0,33.0,499.0,2018-06-22,9:30:00,35.0,32.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-04,9:30:00,35.0,33.0,499.0,2018-06-29,9:30:00,35.0,19.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-11,9:30:00,35.0,34.0,499.0,2018-06-01,9:30:00,35.0,28.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-11,9:30:00,35.0,34.0,499.0,2018-06-08,9:30:00,35.0,35.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-11,9:30:00,35.0,34.0,499.0,2018-06-15,9:30:00,35.0,31.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-11,9:30:00,35.0,34.0,499.0,2018-06-22,9:30:00,35.0,32.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-11,9:30:00,35.0,34.0,499.0,2018-06-29,9:30:00,35.0,19.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-18,9:30:00,35.0,32.0,499.0,2018-06-01,9:30:00,35.0,28.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-18,9:30:00,35.0,32.0,499.0,2018-06-08,9:30:00,35.0,35.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-18,9:30:00,35.0,32.0,499.0,2018-06-15,9:30:00,35.0,31.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-18,9:30:00,35.0,32.0,499.0,2018-06-22,9:30:00,35.0,32.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-18,9:30:00,35.0,32.0,499.0,2018-06-29,9:30:00,35.0,19.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-25,9:30:00,35.0,29.0,499.0,2018-06-01,9:30:00,35.0,28.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-25,9:30:00,35.0,29.0,499.0,2018-06-08,9:30:00,35.0,35.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-25,9:30:00,35.0,29.0,499.0,2018-06-15,9:30:00,35.0,31.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-25,9:30:00,35.0,29.0,499.0,2018-06-22,9:30:00,35.0,32.0,499.0
BRP,20:20:20  9.30-10.30am,2018-05-25,9:30:00,35.0,29.0,499.0,2018-06-29,9:30:00,35.0,19.0,499.0
BRP,Aerobics,2018-04-03,19:30:00,35.0,24.0,799.0,2018-06-05,19:30:00,35.0,24.0,799.0
BRP,Aerobics,2018-04-03,19:30:00,35.0,24.0,799.0,2018-06-12,19:30:00,35.0,25.0,799.0
BRP,Aerobics,2018-04-03,19:30:00,35.0,24.0,799.0,2018-06-19,19:30:00,35.0,19.0,799.0
BRP,Aerobics,2018-04-03,19:30:00,35.0,24.0,799.0,2018-06-26,19:30:00,35.0,15.0,799.0
BRP,Aerobics,2018-04-10,19:30:00,35.0,17.0,799.0,2018-06-05,19:30:00,35.0,24.0,799.0
BRP,Aerobics,2018-04-10,19:30:00,35.0,17.0,799.0,2018-06-12,19:30:00,35.0,25.0,799.0
BRP,Aerobics,2018-04-10,19:30:00,35.0,17.0,799.0,2018-06-19,19:30:00,35.0,19.0,799.0
BRP,Aerobics,2018-04-10,19:30:00,35.0,17.0,799.0,2018-06-26,19:30:00,35.0,15.0,799.0
BRP,Aerobics,2018-04-17,19:30:00,35.0,27.0,799.0,2018-06-05,19:30:00,35.0,24.0,799.0
BRP,Aerobics,2018-04-17,19:30:00,35.0,27.0,799.0,2018-06-12,19:30:00,35.0,25.0,799.0
BRP,Aerobics,2018-04-17,19:30:00,35.0,27.0,799.0,2018-06-19,19:30:00,35.0,19.0,799.0
BRP,Aerobics,2018-04-17,19:30:00,35.0,27.0,799.0,2018-06-26,19:30:00,35.0,15.0,799.0
BRP,Aerobics,2018-04-24,19:30:00,35.0,21.0,799.0,2018-06-05,19:30:00,35.0,24.0,799.0
BRP,Aerobics,2018-04-24,19:30:00,35.0,21.0,799.0,2018-06-12,19:30:00,35.0,25.0,799.0
BRP,Aerobics,2018-04-24,19:30:00,35.0,21.0,799.0,2018-06-19,19:30:00,35.0,19.0,799.0
BRP,Aerobics,2018-04-24,19:30:00,35.0,21.0,799.0,2018-06-26,19:30:00,35.0,15.0,799.0
BRP,Aerobics,2018-05-01,19:30:00,35.0,23.0,799.0,2018-06-05,19:30:00,35.0,24.0,799.0
BRP,Aerobics,2018-05-01,19:30:00,35.0,23.0,799.0,2018-06-12,19:30:00,35.0,25.0,799.0
BRP,Aerobics,2018-05-01,19:30:00,35.0,23.0,799.0,2018-06-19,19:30:00,35.0,19.0,799.0
BRP,Aerobics,2018-05-01,19:30:00,35.0,23.0,799.0,2018-06-26,19:30:00,35.0,15.0,799.0
BRP,Aerobics,2018-05-08,19:30:00,35.0,29.0,799.0,2018-06-05,19:30:00,35.0,24.0,799.0
BRP,Aerobics,2018-05-08,19:30:00,35.0,29.0,799.0,2018-06-12,19:30:00,35.0,25.0,799.0
BRP,Aerobics,2018-05-08,19:30:00,35.0,29.0,799.0,2018-06-19,19:30:00,35.0,19.0,799.0
BRP,Aerobics,2018-05-08,19:30:00,35.0,29.0,799.0,2018-06-26,19:30:00,35.0,15.0,799.0
BRP,Aerobics,2018-05-15,19:30:00,35.0,23.0,799.0,2018-06-05,19:30:00,35.0,24.0,799.0
BRP,Aerobics,2018-05-15,19:30:00,35.0,23.0,799.0,2018-06-12,19:30:00,35.0,25.0,799.0
BRP,Aerobics,2018-05-15,19:30:00,35.0,23.0,799.0,2018-06-19,19:30:00,35.0,19.0,799.0
BRP,Aerobics,2018-05-15,19:30:00,35.0,23.0,799.0,2018-06-26,19:30:00,35.0,15.0,799.0
BRP,Aerobics,2018-05-22,19:30:00,35.0,28.0,799.0,2018-06-05,19:30:00,35.0,24.0,799.0
BRP,Aerobics,2018-05-22,19:30:00,35.0,28.0,799.0,2018-06-12,19:30:00,35.0,25.0,799.0
BRP,Aerobics,2018-05-22,19:30:00,35.0,28.0,799.0,2018-06-19,19:30:00,35.0,19.0,799.0
BRP,Aerobics,2018-05-22,19:30:00,35.0,28.0,799.0,2018-06-26,19:30:00,35.0,15.0,799.0
BRP,Aerobics,2018-05-29,19:30:00,35.0,24.0,799.0,2018-06-05,19:30:00,35.0,24.0,799.0
BRP,Aerobics,2018-05-29,19:30:00,35.0,24.0,799.0,2018-06-12,19:30:00,35.0,25.0,799.0
BRP,Aerobics,2018-05-29,19:30:00,35.0,24.0,799.0,2018-06-19,19:30:00,35.0,19.0,799.0
BRP,Aerobics,2018-05-29,19:30:00,35.0,24.0,799.0,2018-06-26,19:30:00,35.0,15.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-09,18:00:00,35.0,32.0,799.0,2018-06-04,18:00:00,35.0,35.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-09,18:00:00,35.0,32.0,799.0,2018-06-11,18:00:00,35.0,32.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-09,18:00:00,35.0,32.0,799.0,2018-06-18,18:00:00,35.0,31.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-09,18:00:00,35.0,32.0,799.0,2018-06-25,18:00:00,35.0,24.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-16,18:00:00,35.0,35.0,799.0,2018-06-04,18:00:00,35.0,35.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-16,18:00:00,35.0,35.0,799.0,2018-06-11,18:00:00,35.0,32.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-16,18:00:00,35.0,35.0,799.0,2018-06-18,18:00:00,35.0,31.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-16,18:00:00,35.0,35.0,799.0,2018-06-25,18:00:00,35.0,24.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-23,18:00:00,35.0,32.0,799.0,2018-06-04,18:00:00,35.0,35.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-23,18:00:00,35.0,32.0,799.0,2018-06-11,18:00:00,35.0,32.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-23,18:00:00,35.0,32.0,799.0,2018-06-18,18:00:00,35.0,31.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-23,18:00:00,35.0,32.0,799.0,2018-06-25,18:00:00,35.0,24.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-30,18:00:00,35.0,33.0,799.0,2018-06-04,18:00:00,35.0,35.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-30,18:00:00,35.0,33.0,799.0,2018-06-11,18:00:00,35.0,32.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-30,18:00:00,35.0,33.0,799.0,2018-06-18,18:00:00,35.0,31.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-04-30,18:00:00,35.0,33.0,799.0,2018-06-25,18:00:00,35.0,24.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-05-14,18:00:00,35.0,28.0,799.0,2018-06-04,18:00:00,35.0,35.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-05-14,18:00:00,35.0,28.0,799.0,2018-06-11,18:00:00,35.0,32.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-05-14,18:00:00,35.0,28.0,799.0,2018-06-18,18:00:00,35.0,31.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-05-14,18:00:00,35.0,28.0,799.0,2018-06-25,18:00:00,35.0,24.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-05-21,18:00:00,35.0,31.0,799.0,2018-06-04,18:00:00,35.0,35.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-05-21,18:00:00,35.0,31.0,799.0,2018-06-11,18:00:00,35.0,32.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-05-21,18:00:00,35.0,31.0,799.0,2018-06-18,18:00:00,35.0,31.0,799.0
BRP,Aerobics 6.00-7.00pm,2018-05-21,18:00:00,35.0,31.0,799.0,2018-06-25,18:00:00,35.0,24.0,799.0
BRP,Aqua Fit 14.45pm,,,,,,2018-06-13,14:30:00,35.0,25.0,999.0
BRP,Aqua Fit 14.45pm,,,,,,2018-06-20,14:30:00,35.0,27.0,999.0
BRP,Aqua Fit 14.45pm,,,,,,2018-06-27,14:30:00,35.0,18.0,999.0
BRP,Aqua Fit 2.45 -3.45pm,2018-04-04,14:45:00,35.0,24.0,999.0,2018-06-06,14:45:00,35.0,16.0,999.0
BRP,Aqua Fit 2.45 -3.45pm,2018-04-11,14:45:00,35.0,32.0,999.0,2018-06-06,14:45:00,35.0,16.0,999.0
BRP,Aqua Fit 2.45 -3.45pm,2018-04-18,14:45:00,35.0,29.0,999.0,2018-06-06,14:45:00,35.0,16.0,999.0
BRP,Aqua Fit 2.45 -3.45pm,2018-04-25,14:45:00,35.0,25.0,999.0,2018-06-06,14:45:00,35.0,16.0,999.0
BRP,Aqua Fit 2.45 -3.45pm,2018-05-02,14:45:00,35.0,28.0,999.0,2018-06-06,14:45:00,35.0,16.0,999.0
BRP,Aqua Fit 2.45 -3.45pm,2018-05-09,14:45:00,35.0,27.0,999.0,2018-06-06,14:45:00,35.0,16.0,999.0
BRP,Aqua Fit 2.45 -3.45pm,2018-05-16,14:45:00,35.0,16.0,999.0,2018-06-06,14:45:00,35.0,16.0,999.0
BRP,Aqua Fit 2.45 -3.45pm,2018-05-23,14:45:00,35.0,20.0,999.0,2018-06-06,14:45:00,35.0,16.0,999.0
BRP,Aqua Fit 2.45 -3.45pm,2018-05-30,14:45:00,35.0,23.0,999.0,2018-06-06,14:45:00,35.0,16.0,999.0
BRP,Aqua Tots 10 -10.30am,2018-04-07,10:00:00,10.0,9.0,999.0,2018-06-02,10:00:00,10.0,6.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-07,10:00:00,10.0,9.0,999.0,2018-06-09,10:00:00,10.0,8.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-07,10:00:00,10.0,9.0,999.0,2018-06-16,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-07,10:00:00,10.0,9.0,999.0,2018-06-23,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-07,10:00:00,10.0,9.0,999.0,2018-06-30,10:00:00,10.0,7.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-14,10:00:00,10.0,10.0,999.0,2018-06-02,10:00:00,10.0,6.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-14,10:00:00,10.0,10.0,999.0,2018-06-09,10:00:00,10.0,8.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-14,10:00:00,10.0,10.0,999.0,2018-06-16,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-14,10:00:00,10.0,10.0,999.0,2018-06-23,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-14,10:00:00,10.0,10.0,999.0,2018-06-30,10:00:00,10.0,7.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-21,10:00:00,10.0,10.0,999.0,2018-06-02,10:00:00,10.0,6.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-21,10:00:00,10.0,10.0,999.0,2018-06-09,10:00:00,10.0,8.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-21,10:00:00,10.0,10.0,999.0,2018-06-16,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-21,10:00:00,10.0,10.0,999.0,2018-06-23,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-21,10:00:00,10.0,10.0,999.0,2018-06-30,10:00:00,10.0,7.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-28,10:00:00,10.0,10.0,999.0,2018-06-02,10:00:00,10.0,6.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-28,10:00:00,10.0,10.0,999.0,2018-06-09,10:00:00,10.0,8.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-28,10:00:00,10.0,10.0,999.0,2018-06-16,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-28,10:00:00,10.0,10.0,999.0,2018-06-23,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-04-28,10:00:00,10.0,10.0,999.0,2018-06-30,10:00:00,10.0,7.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-05,10:00:00,10.0,10.0,999.0,2018-06-02,10:00:00,10.0,6.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-05,10:00:00,10.0,10.0,999.0,2018-06-09,10:00:00,10.0,8.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-05,10:00:00,10.0,10.0,999.0,2018-06-16,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-05,10:00:00,10.0,10.0,999.0,2018-06-23,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-05,10:00:00,10.0,10.0,999.0,2018-06-30,10:00:00,10.0,7.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-12,10:00:00,10.0,9.0,999.0,2018-06-02,10:00:00,10.0,6.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-12,10:00:00,10.0,9.0,999.0,2018-06-09,10:00:00,10.0,8.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-12,10:00:00,10.0,9.0,999.0,2018-06-16,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-12,10:00:00,10.0,9.0,999.0,2018-06-23,10:00:00,10.0,10.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-12,10:00:00,10.0,9.0,999.0,2018-06-30,10:00:00,10.0,7.0,1499.0
BRP,Aqua Tots 10 -10.30am,2018-05-19,10:00:00,10.0,10.0,999.0,2018-06-02,10:00:00,10.0,6.0,1499.0
